"year","source","flow","destination","weight","value"
1996,"Albania","export","World",,643987
1996,"Albania","export","Turkey",,597430
1996,"Albania","export","TFYR of Macedonia",,46491
1996,"Albania","export","Areas, nes",,66
1996,"Andorra","export","World",,30401
1996,"Andorra","export","France",,6055
1996,"Andorra","export","Spain",,24346
1996,"Argentina","export","World",,5909667
1996,"Argentina","export","Bolivia (Plurinational State of)",,18374
1996,"Argentina","export","Brazil",,665958
1996,"Argentina","export","Chile",,91641
1996,"Argentina","export","Costa Rica",,5974
1996,"Argentina","export","Dominica",,29000
1996,"Argentina","export","Ecuador",,9555
1996,"Argentina","export","El Salvador",,46712
1996,"Argentina","export","France",,8315
1996,"Argentina","export","Germany",,212335
1996,"Argentina","export","Guatemala",,12416
1996,"Argentina","export","Italy",,617350
1996,"Argentina","export","Nicaragua",,37541
1996,"Argentina","export","Paraguay",,211293
1996,"Argentina","export","Peru",,99753
1996,"Argentina","export","Philippines",,90100
1996,"Argentina","export","Poland",,26212
1996,"Argentina","export","So. African Customs Union",,88440
1996,"Argentina","export","Sweden",,1360
1996,"Argentina","export","Thailand",,7649
1996,"Argentina","export","Trinidad and Tobago",,4458
1996,"Argentina","export","United Kingdom",,696
1996,"Argentina","export","USA",,3127290
1996,"Argentina","export","Uruguay",,411368
1996,"Argentina","export","Venezuela",,3600
1996,"Argentina","export","Yemen",,80000
1996,"Argentina","export","Areas, nes",,2277
1996,"Australia","export","World",,18773131
1996,"Australia","export","Austria",,239229
1996,"Australia","export","Belgium-Luxembourg",,619796
1996,"Australia","export","Brazil",,346508
1996,"Australia","export","Solomon Isds",,44185
1996,"Australia","export","Brunei Darussalam",,3857
1996,"Australia","export","Canada",,42570
1996,"Australia","export","Sri Lanka",,2041
1996,"Australia","export","China",,2350
1996,"Australia","export","Christmas Isds",,633
1996,"Australia","export","Cook Isds",,672
1996,"Australia","export","Cyprus",,8798
1996,"Australia","export","Denmark",,22325
1996,"Australia","export","Fiji",,36839
1996,"Australia","export","France",,34633
1996,"Australia","export","French Polynesia",,1605
1996,"Australia","export","Germany",,76716
1996,"Australia","export","Ghana",,89752
1996,"Australia","export","Greece",,1684
1996,"Australia","export","China, Hong Kong SAR",,189827
1996,"Australia","export","Indonesia",,4930045
1996,"Australia","export","Italy",,46451
1996,"Australia","export","Japan",,1647716
1996,"Australia","export","Rep. of Korea",,245766
1996,"Australia","export","Kuwait",,270444
1996,"Australia","export","Lebanon",,626
1996,"Australia","export","Malaysia",,25678
1996,"Australia","export","Mexico",,751
1996,"Australia","export","New Caledonia",,148500
1996,"Australia","export","Vanuatu",,19683
1996,"Australia","export","New Zealand",,2300029
1996,"Australia","export","Other Europe, nes",,1566
1996,"Australia","export","Norfolk Isds",,4197
1996,"Australia","export","Norway",,9049
1996,"Australia","export","Papua New Guinea",,93842
1996,"Australia","export","Philippines",,176954
1996,"Australia","export","India",,9521
1996,"Australia","export","Singapore",,5073094
1996,"Australia","export","So. African Customs Union",,85726
1996,"Australia","export","Zimbabwe",,2167
1996,"Australia","export","Spain",,1566
1996,"Australia","export","Sweden",,11171
1996,"Australia","export","Switzerland",,4386
1996,"Australia","export","Thailand",,64407
1996,"Australia","export","United Kingdom",,1322110
1996,"Australia","export","USA",,509021
1996,"Australia","export","Areas, nes",,4645
1996,"Austria","export","World",,105610616
1996,"Austria","export","Andorra",,42034
1996,"Austria","export","Argentina",,102021
1996,"Austria","export","Australia",,454749
1996,"Austria","export","Barbados",,9351
1996,"Austria","export","Belgium-Luxembourg",,2000102
1996,"Austria","export","Bosnia Herzegovina",,40052
1996,"Austria","export","Brazil",,354054
1996,"Austria","export","Brunei Darussalam",,4740725
1996,"Austria","export","Bulgaria",,256280
1996,"Austria","export","Canada",,26260
1996,"Austria","export","Chile",,102210
1996,"Austria","export","China",,119591
1996,"Austria","export","Colombia",,5762
1996,"Austria","export","Costa Rica",,19081
1996,"Austria","export","Croatia",,674285
1996,"Austria","export","Cyprus",,2833
1996,"Austria","export","Czech Rep.",,572264
1996,"Austria","export","Denmark",,345362
1996,"Austria","export","Ecuador",,37313
1996,"Austria","export","El Salvador",,34951
1996,"Austria","export","Estonia",,121954
1996,"Austria","export","Fiji",,11808
1996,"Austria","export","Finland",,12059587
1996,"Austria","export","France",,2088616
1996,"Austria","export","Germany",,12750500
1996,"Austria","export","Gibraltar",,944
1996,"Austria","export","Greece",,227470
1996,"Austria","export","China, Hong Kong SAR",,4226454
1996,"Austria","export","Hungary",,433495
1996,"Austria","export","Iceland",,11145
1996,"Austria","export","Indonesia",,156905
1996,"Austria","export","Ireland",,143112
1996,"Austria","export","Israel",,269129
1996,"Austria","export","Italy",,1121012
1996,"Austria","export","Côte d'Ivoire",,21915
1996,"Austria","export","Jamaica",,12374
1996,"Austria","export","Japan",,100791
1996,"Austria","export","Jordan",,87568
1996,"Austria","export","Kenya",,10296
1996,"Austria","export","Rep. of Korea",,131306
1996,"Austria","export","Kuwait",,7273
1996,"Austria","export","Latvia",,121386
1996,"Austria","export","Lithuania",,163706
1996,"Austria","export","Malaysia",,5522325
1996,"Austria","export","Malta",,142829
1996,"Austria","export","Mauritius",,6329
1996,"Austria","export","Mexico",,5479
1996,"Austria","export","Other Asia, nes",,33912
1996,"Austria","export","Morocco",,7651
1996,"Austria","export","Mozambique",,1322
1996,"Austria","export","Oman",,988007
1996,"Austria","export","Nepal",,756853
1996,"Austria","export","Netherlands",,1421318
1996,"Austria","export","Neth. Antilles",,109389
1996,"Austria","export","New Caledonia",,31551
1996,"Austria","export","New Zealand",,793598
1996,"Austria","export","Nicaragua",,29661
1996,"Austria","export","Norway",,1064712
1996,"Austria","export","FS Micronesia",,2928
1996,"Austria","export","Pakistan",,618651
1996,"Austria","export","Paraguay",,281599
1996,"Austria","export","Philippines",,196864
1996,"Austria","export","Poland",,124408
1996,"Austria","export","Portugal",,127808
1996,"Austria","export","Qatar",,20307
1996,"Austria","export","Romania",,116662
1996,"Austria","export","Russian Federation",,787453
1996,"Austria","export","Saudi Arabia",,148970
1996,"Austria","export","India",,44681
1996,"Austria","export","Singapore",,1039678
1996,"Austria","export","Slovakia",,1509453
1996,"Austria","export","Slovenia",,50346
1996,"Austria","export","So. African Customs Union",,1008031
1996,"Austria","export","Zimbabwe",,26921
1996,"Austria","export","Spain",,346494
1996,"Austria","export","Sweden",,608068
1996,"Austria","export","Switzerland",,3394217
1996,"Austria","export","Thailand",,538165
1996,"Austria","export","Trinidad and Tobago",,4912
1996,"Austria","export","United Arab Emirates",,129037
1996,"Austria","export","Tunisia",,110615
1996,"Austria","export","Ukraine",,24560
1996,"Austria","export","TFYR of Macedonia",,22671
1996,"Austria","export","Egypt",,256376
1996,"Austria","export","United Kingdom",,748821
1996,"Austria","export","USA",,38022820
1996,"Austria","export","Uruguay",,9446
1996,"Austria","export","Venezuela",,141507
1996,"Austria","export","Serbia and Montenegro",,5856
1996,"Austria","export","Areas, nes",,9328
1996,"Belgium-Luxembourg","export","World",,43419876
1996,"Belgium-Luxembourg","export","Andorra",,106275
1996,"Belgium-Luxembourg","export","Angola",,1920
1996,"Belgium-Luxembourg","export","Australia",,6947
1996,"Belgium-Luxembourg","export","Austria",,15789
1996,"Belgium-Luxembourg","export","Bermuda",,42059
1996,"Belgium-Luxembourg","export","Burundi",,633
1996,"Belgium-Luxembourg","export","Canada",,2512
1996,"Belgium-Luxembourg","export","China",,62191
1996,"Belgium-Luxembourg","export","Cyprus",,115074
1996,"Belgium-Luxembourg","export","Czech Rep.",,28103
1996,"Belgium-Luxembourg","export","Benin",,3026
1996,"Belgium-Luxembourg","export","Denmark",,279300
1996,"Belgium-Luxembourg","export","Eritrea",,20682
1996,"Belgium-Luxembourg","export","France",,7456897
1996,"Belgium-Luxembourg","export","Germany",,7769658
1996,"Belgium-Luxembourg","export","Greece",,461893
1996,"Belgium-Luxembourg","export","Hungary",,17828
1996,"Belgium-Luxembourg","export","Israel",,17269
1996,"Belgium-Luxembourg","export","Italy",,2614093
1996,"Belgium-Luxembourg","export","Japan",,85659
1996,"Belgium-Luxembourg","export","Kenya",,3244
1996,"Belgium-Luxembourg","export","Rep. of Korea",,31202
1996,"Belgium-Luxembourg","export","Kuwait",,33773
1996,"Belgium-Luxembourg","export","Lebanon",,19643
1996,"Belgium-Luxembourg","export","Latvia",,13185
1996,"Belgium-Luxembourg","export","Malta",,54819
1996,"Belgium-Luxembourg","export","Oman",,1155
1996,"Belgium-Luxembourg","export","Netherlands",,1578253
1996,"Belgium-Luxembourg","export","New Zealand",,6394
1996,"Belgium-Luxembourg","export","Norway",,49606
1996,"Belgium-Luxembourg","export","Portugal",,13275019
1996,"Belgium-Luxembourg","export","Qatar",,29699
1996,"Belgium-Luxembourg","export","Romania",,8478
1996,"Belgium-Luxembourg","export","Russian Federation",,220321
1996,"Belgium-Luxembourg","export","Saudi Arabia",,786083
1996,"Belgium-Luxembourg","export","So. African Customs Union",,3986
1996,"Belgium-Luxembourg","export","Spain",,3095356
1996,"Belgium-Luxembourg","export","Sweden",,38629
1996,"Belgium-Luxembourg","export","Switzerland",,649193
1996,"Belgium-Luxembourg","export","Thailand",,65343
1996,"Belgium-Luxembourg","export","Turkey",,181412
1996,"Belgium-Luxembourg","export","United Kingdom",,3207872
1996,"Belgium-Luxembourg","export","USA",,958952
1996,"Belgium-Luxembourg","export","Areas, nes",,451
1996,"Canada","export","World",,71704958
1996,"Canada","export","Argentina",,7489
1996,"Canada","export","Australia",,1164136
1996,"Canada","export","Austria",,94383
1996,"Canada","export","Belgium-Luxembourg",,1013689
1996,"Canada","export","Brazil",,37208
1996,"Canada","export","Chile",,15286
1996,"Canada","export","China",,3694
1996,"Canada","export","Costa Rica",,14220
1996,"Canada","export","Czech Rep.",,21125
1996,"Canada","export","Denmark",,6775885
1996,"Canada","export","Fiji",,4137
1996,"Canada","export","Finland",,55423
1996,"Canada","export","France",,3085353
1996,"Canada","export","Germany",,1339963
1996,"Canada","export","Greece",,8941
1996,"Canada","export","Greenland",,2819
1996,"Canada","export","Guyana",,18041
1996,"Canada","export","China, Hong Kong SAR",,116588
1996,"Canada","export","Indonesia",,6813
1996,"Canada","export","Ireland",,10226
1996,"Canada","export","Israel",,65207
1996,"Canada","export","Italy",,133870
1996,"Canada","export","Japan",,751890
1996,"Canada","export","Jordan",,570217
1996,"Canada","export","Kenya",,6750
1996,"Canada","export","Rep. of Korea",,53658
1996,"Canada","export","Kuwait",,118933
1996,"Canada","export","Lebanon",,60814
1996,"Canada","export","Malaysia",,360390
1996,"Canada","export","Nepal",,330088
1996,"Canada","export","Netherlands",,10648202
1996,"Canada","export","New Zealand",,51127
1996,"Canada","export","Nicaragua",,28598
1996,"Canada","export","Nigeria",,20191
1996,"Canada","export","Norway",,540329
1996,"Canada","export","Peru",,10284
1996,"Canada","export","Philippines",,39001
1996,"Canada","export","Poland",,10609
1996,"Canada","export","Portugal",,281149
1996,"Canada","export","Russian Federation",,15051
1996,"Canada","export","Saudi Arabia",,43029
1996,"Canada","export","Singapore",,36211
1996,"Canada","export","Slovakia",,2676
1996,"Canada","export","So. African Customs Union",,88737
1996,"Canada","export","Spain",,142523
1996,"Canada","export","Sweden",,170696
1996,"Canada","export","Switzerland",,260173
1996,"Canada","export","Thailand",,695195
1996,"Canada","export","United Arab Emirates",,353631
1996,"Canada","export","Turkey",,7107
1996,"Canada","export","Ukraine",,2347
1996,"Canada","export","United Kingdom",,7601268
1996,"Canada","export","USA",,34284142
1996,"Canada","export","Burkina Faso",,14857
1996,"Canada","export","Uruguay",,16343
1996,"Canada","export","Venezuela",,78672
1996,"Canada","export","Yemen",,15574
1996,"China","export","World",,22659916
1996,"China","export","Algeria",,1001129
1996,"China","export","Angola",,55039
1996,"China","export","Argentina",,577559
1996,"China","export","Australia",,153722
1996,"China","export","Austria",,572025
1996,"China","export","Bangladesh",,40318
1996,"China","export","Belgium-Luxembourg",,51800
1996,"China","export","Brazil",,7735
1996,"China","export","Myanmar",,6508
1996,"China","export","Cambodia",,3112
1996,"China","export","Cameroon",,11354
1996,"China","export","Canada",,62035
1996,"China","export","Sri Lanka",,1159216
1996,"China","export","Chile",,272117
1996,"China","export","Czech Rep.",,48501
1996,"China","export","Denmark",,69977
1996,"China","export","Estonia",,51699
1996,"China","export","Finland",,169960
1996,"China","export","France",,71052
1996,"China","export","Gabon",,699
1996,"China","export","Germany",,1110065
1996,"China","export","Greece",,19986
1996,"China","export","Guatemala",,30085
1996,"China","export","Honduras",,127348
1996,"China","export","China, Hong Kong SAR",,547466
1996,"China","export","Indonesia",,28909
1996,"China","export","Iran",,7215983
1996,"China","export","Israel",,16908
1996,"China","export","Italy",,73333
1996,"China","export","Japan",,43682
1996,"China","export","Dem. People's Rep. of Korea",,186988
1996,"China","export","Rep. of Korea",,909
1996,"China","export","Lao People's Dem. Rep.",,36555
1996,"China","export","Lebanon",,169129
1996,"China","export","Malaysia",,28649
1996,"China","export","Netherlands",,38083
1996,"China","export","New Zealand",,165385
1996,"China","export","Norway",,1594
1996,"China","export","Pakistan",,2967665
1996,"China","export","Panama",,71340
1996,"China","export","Paraguay",,334472
1996,"China","export","Philippines",,50861
1996,"China","export","Portugal",,6000
1996,"China","export","Singapore",,67101
1996,"China","export","Slovenia",,26425
1996,"China","export","So. African Customs Union",,122914
1996,"China","export","Zimbabwe",,45453
1996,"China","export","Sweden",,130381
